"","Aardappelengat A5","Aardappelengat A6","Aardappelengat A4","Amer A3","Amer A5","BeerKanaal B1","Beneden Merwede BE 1A","Beneden Merwede BE 2","Beningen BN 6","Beningen BN 5","CalandKanaal CA4","Dordtsche Kil D 1","Dordtsche Kil D 2A","Haringvliet HV 25","Haringvliet HV 26","Haringvliet HV3","Haringvliet HV5","Haringvliet HV7","Haringvliet HV2A","Haringvliet HD-G","Haringvliet HD-H","Haringvliet HD-I","Haringvliet HD-B","Haringvliet HD-C","Haringvliet HD-D","Haringvliet HD-E","Haringvliet HD-F","Hartelkanaal SB-B","Hartelkanaal SB-E","Hitsertse of Vuile Gat VG 5","Hitsertse of Vuile Gat VG 8","Hollands Diep HD 33","Hollands Diep HD 30","Maasmond Maas 5","Maasmond CA2-NW1","Maasmond Maas 4","Maasvlakte-Maasgeul Maas1","Maasvlakte-Maasgeul MV N","Maasvlakte-Maasgeul MV A","Maasvlakte-Maasgeul MVB","Maasvlakte-Maasgeul MVC","Nieuwe Maas NM 23","Nieuwe Maas NM 21","Nieuwe Merwede NM 8","Nieuwe Merwede NM 6","NieuweWaterweg NW3","NieuweWaterweg NW2","NieuweWaterweg NW25","NieuweWaterweg NW8","Noord N4","Noord N2","NoordPampus P8","NoordPampus P7","NoordPampus P6","NoordPampus P1","NoordPampus P4","NoordPampus P9","NoordPampus P10","Noordzee HP-WNB 15A","Oude Maas O 57","Oude Maas O 59","Oude Maas BB A","Oude Maas BB-C","Oude Maas BB-E","Slijkgat HS8","Slijkgat HS6","Slijkgat HS4","Slijkgat HS2","Slijkgat SG7","Slijkgat SG12","Slijkgat SG6","Slijkgat SG2","Spui SP 4","Spui SP 6","Zuid Hollandsch Diep 5","Zuid Hollandsch Diep 3","Goereesesluis ZOUT","Goereesesluis ZOET","Bunker","AMER - ZUIDERGAT","AMER - NOORDERGAT"
"CalandKanaal CA4",20523.7114186779,20308.1150637563,19626.3273748239,53300.0375641281,54086.3563043704,550.888844428098,51599.2401243669,51168.1436831092,24641.5747238755,24554.3402324573,0,44425.6451993971,44279.2056503403,28336.788264424,28320.3638659369,18799.4174612148,18697.5916904337,18752.4792570832,18348.2974799366,16539.9231165063,16363.4604457245,16164.1068513196,17403.9506669891,17227.3169464481,17060.1369188105,16890.2216448475,16715.7196057974,4993.23166829374,5219.0502918869,28386.2838819286,28002.8425339122,45004.9852661187,44685.9880340838,866.284975806791,636.36874000361,1023.49711206008,3825.01270767834,5532.57817510142,10213.1250422661,9726.93279533292,8020.24566629208,34705.1649283016,34207.462626618,50962.6214768956,50680.8311842971,176.466468067769,580.58098839048,5439.0554851433,5496.950335814,40989.9600167416,40427.5155421877,15985.1042581155,16071.7891190336,14982.4808725398,14828.9032827747,14271.0301570958,16710.2740682144,16710.4659912184,9575.49783101729,43939.736010427,44036.0328347319,20918.9756436263,20976.072311876,21030.940514735,16918.8539449706,16608.0056361081,16314.5085846713,16023.2304846687,18378.6114437127,16366.9834128248,18018.5569294429,19016.3841738948,28960.1414305203,28918.2013954702,45307.5745553373,45459.4985063217,17557.6539181176,17798.3845592257,10901.4384323754,51072.0135771012,51509.9921234797
"Dordtsche Kil D 1",35174.2939107522,35083.4188280906,35592.8934894325,8880.86589722621,9694.32597300723,44323.494585134,12075.7162339907,11847.9948530773,26277.4600676879,26338.717535163,44425.6451993971,0,669.997703423798,26429.0408790869,25876.5874831677,35442.6629182163,34736.7113328253,33994.8763314208,34249.0512256884,39834.5290808484,39749.928075201,39795.2437682353,40343.3344466095,40232.0687960815,40128.4224903268,40028.0602132142,39922.7206717274,40689.386118243,40282.2103612342,24376.3320874129,24240.1342950673,9311.29702456849,9075.90947920191,45131.2646562691,45060.8081947772,45376.0645246449,48097.6388595358,49730.1868688049,48925.8418967441,50755.8502400574,51595.5530863693,15744.4717769592,15942.1308764956,6576.67313442575,6255.23652665883,44480.4568533562,44583.9167840733,39013.9131354231,39015.3468523933,11103.5269751785,11509.896379307,41311.9999117049,41499.8893978812,41760.7003226531,44064.3937838567,42855.7544882613,41310.3550222302,41162.3120577334,46609.5766886763,6405.59787933116,6578.95780794974,23557.1979661114,23492.1292688715,23431.113687344,40897.0196992513,40720.1130232434,40542.7605864847,40367.6728456965,48746.0576063459,45769.5926481435,49410.7278046655,51396.9638700429,15506.906391548,15572.2260661621,9966.10216210292,10065.5953853356,41189.2617476147,40644.701142124,43539.8998635329,6732.63925073069,7140.97044610103
"Dordtsche Kil D 2A",35339.5429945281,35244.2121768733,35742.9325018153,9028.73409868488,9807.50943917241,44185.0655229151,11598.485122653,11356.1907053142,26460.9206028001,26520.5784209945,44279.2056503403,669.997703423798,0,26710.7379785068,26153.5736702009,35576.2888183448,34864.3580006466,34118.5868339077,34366.2717364561,39941.6656766644,39854.0051376848,39896.0585038323,40465.1210610483,40350.916871867,40244.4603304087,40141.2160002736,40032.88312539,40594.8156212421,40185.7706333029,24640.5911249827,24492.0616343589,9958.64265982744,9717.78620090967,44992.1078691307,44914.8737362944,45223.9897755759,47966.038186372,49605.2041674865,48909.8357748976,50712.0386573981,51497.9496444211,15190.8905942538,15399.8769101811,6683.44595087699,6436.92615307749,44331.5413174936,44429.2521137436,38859.5869383186,38854.3176057951,10448.9464971698,10862.2951066444,41411.0394445198,41600.295487772,41843.7252109479,44142.2619192888,42927.0343128263,41420.9958555441,41272.9852695658,46599.340959254,5737.97108864694,5912.27418537136,23444.6694789486,23377.2579816655,23314.2821471404,41011.0541940506,40829.0870610957,40646.8709840628,40466.8708023589,48856.3260061183,45865.2570862395,49511.3162997934,51497.8412584017,15408.5602096661,15483.5206709479,10616.4865092151,10718.005785851,41313.4796135048,40772.9336372784,43558.4327733886,7020.50898167367,7405.68212273348
"Haringvliet HV 25",10360.8005242865,10394.6780199785,11120.5738645681,34096.4918597651,35030.0549736255,27947.1610600039,37877.3844440673,37555.2594379702,4144.91681576357,4212.68844031445,28336.788264424,26429.0408790869,26710.7379785068,0,590.944920558016,11444.5408668578,11033.8784917265,10560.7082641198,10966.0457084772,16002.6068373574,16009.015780563,16137.6318353711,16086.1535629686,16058.0980725207,16035.2118371844,16018.5306888468,16001.7108260467,23366.6413341167,23118.6703224883,2186.09751388857,2525.18879236932,21702.7669323874,21522.8382089854,28642.4753248802,28841.4144091037,29337.4293968511,30872.4800776339,32050.0214172847,27697.9536399945,30218.7002399012,32742.1105289369,28471.805272912,28127.0506523142,32268.5744447312,31649.0248937739,28476.7305969949,28782.8831455524,24404.5198277435,24673.1014539652,30764.5355095114,30567.0837100964,17544.9760704064,17679.5970866559,18377.2594262022,20604.5826392067,19683.5920660618,17246.0595241566,17110.187268305,25438.4890456004,30041.2537772756,30225.7040654349,15147.4829138686,15223.2811121545,15285.9581357437,16783.9016831104,16751.59806345,16717.9042454051,16691.4678801069,24233.3783747317,21739.9160185667,25075.1763980509,26972.749933113,16075.0550120977,15841.5393292153,21667.0842577726,21766.7069484403,16802.9423303142,16205.8341852002,21833.3068656085,31401.5855000261,31878.7032858597
"Haringvliet HV 26",10680.6636628309,10702.311160356,11415.1929317163,33581.5025324143,34514.3642762463,27939.0002579564,37303.2777409995,36980.06483488,3910.65171576904,3985.55578849014,28320.3638659369,25876.5874831677,26153.5736702009,590.944920558016,0,11700.0816658079,11258.4877814902,10755.0220047424,11154.189622251,16286.6215769111,16286.480615451,16410.0450657443,16402.3779186681,16367.8366498295,16338.7330592141,16315.7067999537,16292.2373022589,23362.5412870616,23105.9140464563,1595.35409964627,1941.64116682501,21252.4506493086,21066.7872567808,28642.7983496488,28832.8961094776,29325.2028283377,30912.7414966622,32113.2143393462,27893.7464214396,30392.5997209828,32854.3577834812,27895.1595216663,27552.1313273272,31740.8285192352,31125.5503807711,28458.0399747063,28758.6766511342,24304.9548918788,24566.3920221942,30173.5912732111,29976.2746055581,17834.3092121433,17973.4272079262,18645.7314201916,20890.0377175925,19946.1761726597,17554.7119398512,17417.1863055794,25621.2274699603,29459.0906224366,29643.2984617695,14711.2960779836,14785.0836920818,14845.9264058338,17093.4642654567,17050.4158942223,17006.1846614887,16969.0443206759,24599.8910008398,22066.7797358957,25432.2572624772,27340.0107909652,15497.4190018675,15263.6506583765,21229.1220828629,21331.214424449,17133.0336355987,16536.7385406497,22023.762126566,30889.1510480027,31366.6717510754
"Haringvliet HV3",1731.73654381013,1508.86697640955,906.003536503015,43820.8672631328,44731.0251097493,18318.7766904315,45806.5075012649,45432.0042870763,9436.22235652418,9359.62716188659,18799.4174612148,35442.6629182163,35576.2888183448,11444.5408668578,11700.0816658079,0,777.784083174547,1544.55743435979,1483.71534058386,4632.67634775037,4611.42993596646,4722.74787735288,4942.19446732111,4857.0637233635,4784.80821307053,4723.24219720025,4665.62665920132,13924.9863651626,13817.181346207,12544.1687443381,12394.4287206965,32388.512940047,32159.7832848133,18881.028993701,19183.2019572907,19708.1708216801,20593.5533543353,21522.906304833,16343.6631282393,18940.2050339424,21803.3084863892,32784.8317935776,32336.1585261677,41768.3976630716,41244.2176135687,18963.2790537477,19329.5722085545,16346.1144819927,16710.8042682857,36961.999404576,36600.3323543174,6187.44830635331,6342.95178444898,6949.51173260277,9218.63328453512,8246.28589833026,6007.14293221416,5861.94615220483,14144.4277971765,37667.4742278745,37828.0471932667,16027.8896927718,16134.2454170528,16227.0228213649,5561.73280560032,5454.37264094963,5362.00159781537,5291.11003266753,13373.8192434166,10566.052691159,14108.9597004004,16079.0282738077,21633.2417248232,21450.6507333755,32454.5077658044,32572.2507534392,5768.16397283726,5208.8925637813,10529.67997369,41203.8984149898,41682.0093904161
"Haringvliet HV5",2065.68544670626,1809.06513858387,1483.61708110806,43141.1572983011,44049.3771921636,18228.5913938613,45058.348086388,44682.7951164623,8821.98998402079,8743.11238661968,18697.5916904337,34736.7113328253,34864.3580006466,11033.8784917265,11258.4877814902,777.784083174547,0,771.81035092099,736.24256049895,5217.98232415538,5175.25643131724,5267.4222095414,5613.8418424048,5513.91267361846,5426.27410252756,5347.73176562938,5271.09425429168,13777.1263279785,13646.8715369642,12031.5127160854,11859.0979184433,31791.94229773,31558.6968732539,18814.6009116882,19101.7484410217,19624.5429018747,20623.8252676616,21605.2791401456,16677.0222414695,19234.7638001093,21984.3238325791,32007.4242846037,31558.9366157964,41078.3686484392,40559.4971956557,18858.6350074695,19217.7213784412,16037.7278140284,16394.8397866144,36190.2619499121,35827.2834915445,6763.96575466704,6929.75631399631,7459.45156188243,9758.30985798947,8733.26637237528,6637.92329681169,6491.00311711313,14441.8613208983,36917.1837345733,37077.1242980357,15257.9689092081,15364.299176854,15457.0162408036,6202.9461464761,6068.75683979003,5947.55341904532,5844.73350110258,14043.172610076,11185.5784366041,14759.2256091974,16735.554304911,20867.5074883051,20685.9015013015,31868.5889409862,31988.2057383851,6454.09931916887,5908.60334225054,10827.1351270177,40530.6565592122,41008.4335328304
"Haringvliet HV7",2506.2354255669,2251.13994655095,2133.92822509481,42417.1479581208,43323.937647721,18295.9061913131,44291.9917724018,43915.9871135057,8163.60046479072,8082.83913901268,18752.4792570832,33994.8763314208,34118.5868339077,10560.7082641198,10755.0220047424,1544.55743435979,771.81035092099,0,419.839949351757,5904.5964592849,5848.84738158098,5928.30175577174,6348.67100425063,6240.99701085778,6145.05850925754,6057.08372072358,5969.59571392992,13796.93803642,13644.2103084145,11459.3151605192,11266.3155538705,31133.7554680049,30896.8390662755,18904.480832915,19176.268246938,19696.0791272717,20805.2113209307,21835.0844436047,17140.2965211938,19661.0412959125,22305.6009001692,31250.263996427,30802.8600427659,40347.129924173,39832.0291867632,18910.4340204159,19261.7152667292,15883.9422567156,16232.1470838584,35418.9400876786,35056.4475964452,7438.2999743435,7610.25996131559,8085.47530898754,10398.8523933091,9337.89224899175,7346.9565972214,7199.37444430426,14878.042998821,36149.977668048,36309.6540799148,14524.1644845022,14630.4171646267,14722.979833247,6919.31227623988,6769.48778892579,6630.85892263962,6508.04016250266,14768.3230000151,11879.9450694584,15471.6365097337,17451.3037211701,20095.8297090738,19914.3503417322,31219.2042113226,31340.3570023913,7194.97460743202,6657.26440706674,11273.0462867368,39811.4744260388,40288.9800452042
"Haringvliet HV2A",2721.44451073584,2462.76024346397,2215.43694540153,42695.016906154,43600.0530926317,17889.878354507,44488.3973322407,44110.5253405195,8505.25852095247,8423.41827088939,18348.2974799366,34249.0512256884,34366.2717364561,10966.0457084772,11154.189622251,1483.71534058386,736.24256049895,419.839949351757,0,5609.15985999816,5543.46704342684,5613.70637604816,6102.25618837073,5984.77008107603,5879.38871476643,5781.71764064667,5684.16796562234,13397.590421406,13248.8286676259,11838.742533128,11638.1485176474,31468.4532787106,31229.2052212185,18495.5204354988,18769.3348438397,19289.6020784133,20387.8373830169,21415.6474347087,16739.5783527048,19253.3857478139,21887.2154815737,31322.0094077152,30871.6542587403,40616.1054195341,40105.8462902102,18506.7326190263,18859.2523794647,15525.2291854906,15876.1549305353,35555.8903675157,35187.5277860234,7129.76780176521,7306.08965435097,7745.56404853402,10064.5406281615,8985.77881343111,7068.26190022369,6920.30783619019,14472.6631900747,36343.1938768696,36501.6628332036,14546.7468106469,14653.1193570432,14745.9428691975,6649.09593896321,6484.03325088212,6330.84564841344,6193.58376944249,14500.4037137299,11582.4477908819,15189.2450973033,17171.711939364,20255.9025859101,20077.3618766426,31559.2838391676,31681.332780779,6955.45401740292,6431.82359023017,10870.3629874674,40095.0170833202,40572.1937026348
"Haringvliet HD-G",5699.66513374207,5629.52920511761,4885.51161277116,48302.3219063746,49206.5116821409,16010.1972557246,49925.544921252,49541.3038997632,14039.3992547741,13960.7760007246,16539.9231165063,39834.5290808484,39941.6656766644,16002.6068373574,16286.6215769111,4632.67634775037,5217.98232415538,5904.5964592849,5609.15985999816,0,203.392717689756,383.140335351484,1029.62031347378,817.416564235291,616.452849079646,413.838539169725,203.593302577581,12145.4499862084,12177.5378353684,17171.7250366699,17026.6677262209,37007.0043326481,36775.0505777634,16425.5465678758,16800.3138655052,17322.3579419542,17597.2412243197,18261.335808483,12155.8100171592,14852.2632245031,18109.1217031044,36155.4658349638,35688.0792418512,46217.815189923,45711.0944786934,16714.3728075742,17109.7337432976,15418.5675663626,15815.2115065518,40748.8372312322,40351.5601917457,1554.96624498005,1712.82471591834,2422.38637736061,4603.4381102824,3742.85826524091,1493.23192481695,1347.17343148966,10122.4484379219,41774.6950765301,41928.7890551824,19218.086474449,19323.1225554164,19415.8053131276,1146.43018864638,893.587585450851,730.315219148426,715.45601992147,8915.79459893402,5975.56753961941,9583.26978122516,11567.5489657099,25591.9206092541,25425.4941138946,37079.1974448112,37197.8391353749,1720.7489765827,1527.97518744837,6637.34225771176,45703.9774538757,46181.1017983848
"Haringvliet HD-H",5731.53029725557,5652.60026001341,4901.2303443501,48229.0933447919,49132.3210207969,15834.6979062824,49814.3406230459,49429.3854613387,13996.6216726226,13917.4088280114,16363.4604457245,39749.928075201,39854.0051376848,16009.015780563,16286.480615451,4611.42993596646,5175.25643131724,5848.84738158098,5543.46704342684,203.392717689756,0,201.019735189626,1232.54348480804,1020.43677488057,819.580727884491,617.055764042798,406.975468544541,11954.5856709007,11984.3292127615,17155.3852743997,17004.5727630055,36967.1882493314,36733.6695873889,16254.6236974464,16627.4951958744,17149.9773608515,17446.6536925163,18123.3505068509,12079.7926149416,14768.2069073334,17995.9154070946,36004.610914868,35536.5477219596,46140.040771634,45635.8395704948,16537.7444262991,16932.5919799873,15218.5990997976,15615.1055177803,40617.0414320328,40217.8753837538,1589.84941544678,1762.66178165031,2382.55751454003,4608.62776107624,3702.32557185027,1614.78402937286,1472.23918137282,10027.0626358353,41663.3907809055,41816.9787890079,19066.2678117504,19171.1813607305,19263.7964228678,1302.76193116927,1017.36123600907,792.878634662131,682.60248165221,9008.93073635958,6040.02936784574,9662.15261470746,11647.8005391817,25473.6678932394,25308.3337590546,37043.0344140886,37162.3098599822,1904.98602484616,1730.25533881583,6522.13729728729,45633.8712805534,46110.8040407266
"Haringvliet HD-I",5880.96316190559,5796.1738539264,5040.348990779,48286.0435399211,49188.2778279044,15635.1046880545,49829.7693445272,49443.977405773,14084.6411837734,14004.9066603575,16164.1068513196,39795.2437682353,39896.0585038323,16137.6318353711,16410.0450657443,4722.74787735288,5267.4222095414,5928.30175577174,5613.70637604816,383.140335351484,201.019735189626,0,1390.74450755926,1180.65929618884,982.354934471483,783.065277439398,579.15319079111,11762.4444380082,11794.4122657373,17265.8769390354,17110.2760945398,37056.3731680694,36821.4440189309,16054.181427441,16427.3537086841,16949.7617643345,17246.4477655985,17925.5323293524,11908.242070613,14592.0586406989,17806.1015228854,35968.7472880326,35499.7103507813,46192.3682097755,45690.766643571,16338.4346010118,16733.4215260145,15039.3403771466,15436.1880658237,40607.1995747268,40205.5774854953,1519.8168814568,1704.68259600391,2241.69689948053,4497.50593420501,3557.23214524749,1635.29618614143,1499.0537712267,9845.56416575255,41678.8474446829,41831.8351466605,19029.8103478684,19134.5345326722,19227.0418838861,1371.37068897198,1053.568992543,775.473870155759,579.968887634666,8977.92882673699,5981.17654225336,9615.65046645119,11602.0626076956,25481.3688978211,25317.3697135971,37135.4937056802,37255.3303570802,2009.94193570309,1882.34646656524,6332.28974751965,45694.0197172502,46170.751610741
"Haringvliet HD-B",5725.36913088539,5701.22233623251,5010.67696323224,48754.056085759,49662.716539421,16869.4226786218,50558.9777629106,50178.1752219506,14370.9726364113,14295.4236279275,17403.9506669891,40343.3344466095,40465.1210610483,16086.1535629686,16402.3779186681,4942.19446732111,5613.8418424048,6348.67100425063,6102.25618837073,1029.62031347378,1232.54348480804,1390.74450755926,0,212.293496195549,413.35228931134,615.974996239307,826.483037194557,13090.6426300945,13135.8449490508,17366.2361194318,17249.9333630265,37298.8709620677,37074.7242259371,17260.093491491,17644.6730763224,18164.0253450309,18324.0342566023,18922.0865687714,12514.5339659915,15243.5014769781,18642.648264935,36974.8959730369,36510.6417844933,46692.0307938562,46173.243169499,17579.1789979814,17977.0602587963,16416.478884666,16813.9738359699,41480.2758730579,41091.8077691372,1701.92992205465,1752.42815734161,2782.60392639626,4638.41929558896,4030.31569197123,1183.77287350008,1064.94801680755,10586.5081245006,42410.1358973141,42566.5815892173,20047.3073194143,20152.8202794741,20245.7467338234,728.636562771698,870.676052032299,1100.61810603952,1381.40603604522,8432.89135115492,5674.02637110723,9169.90409009364,11137.3287955011,26265.5339647951,26094.1362192433,37353.0131516115,37468.4742057042,860.47093374731,500.511967901177,7221.29022146728,46141.1671950599,46619.1044524471
"Haringvliet HD-C",5699.4143064193,5665.78797999501,4962.29851003986,48654.5783659845,49562.3619750373,16693.7279761986,50423.028123965,50041.530400087,14292.0237785107,14215.82989395,17227.3169464481,40232.0687960815,40350.916871867,16058.0980725207,16367.8366498295,4857.0637233635,5513.91267361846,6240.99701085778,5984.77008107603,817.416564235291,1020.43677488057,1180.65929618884,212.293496195549,0,201.060468101373,403.697795333705,614.207281130155,12896.897939367,12939.3919315196,17315.9342689051,17193.7620672814,37231.3086666772,37005.5627969145,17089.5121861837,17472.1123662218,17992.0675041542,18175.6843062728,18787.3522964857,12439.5772008008,15163.0128189935,18533.9186728598,36801.8259541887,36336.9489852388,46587.9535770054,46071.5836279776,17402.4001918569,17799.7950712344,16211.7979588968,16609.1165231018,41324.6243411033,40934.4048319577,1625.2035580782,1699.25281897328,2685.00943743519,4617.93647894135,3956.02475139756,1188.1041881124,1054.76415165654,10489.110097978,42273.5828342891,42429.5640773263,19871.6387163257,19977.0679347106,20069.9544182017,725.822445211062,775.141885331013,951.809843099421,1206.10185103253,8529.42716670233,5727.67039830756,9252.34124196723,11224.6759772305,26120.6649232699,25950.2356648699,37289.1241170906,37405.2388571781,1015.7851674055,712.237665626524,7097.05183621129,46044.5460263597,46522.3347462225
"Haringvliet HD-D",5683.1841214804,5640.53459265027,4925.61595458901,48562.048270503,49468.983375937,16527.4719809919,50295.6444066864,49913.4854171704,14220.8432251813,14144.0443106383,17060.1369188105,40128.4224903268,40244.4603304087,16035.2118371844,16338.7330592141,4784.80821307053,5426.27410252756,6145.05850925754,5879.38871476643,616.452849079646,819.580727884491,982.354934471483,413.35228931134,201.060468101373,0,202.655820167935,413.159741218093,12713.4755886081,12753.3612216157,17271.6829948629,17143.9276618837,37169.4155308975,36942.1530343355,16928.1376851474,17308.8228817864,17829.3316742836,18035.5362889895,18660.1849839267,12370.4476751544,15088.0748133969,18431.6151454652,36638.9643135345,36173.4922042973,46491.0652871912,45977.0098246975,17235.0736874392,17631.9864892886,16017.8236239919,16414.9703296405,41178.4608014477,40786.5643953144,1574.51027812168,1671.20312390588,2604.12402753064,4606.33662223715,3893.93969021263,1225.44901252474,1082.94947585884,10398.9912045263,42145.7162291873,42301.2505891091,19706.584043036,19811.9283324625,19904.7728725746,777.433630839758,730.325113906589,835.541751253934,1051.91808876177,8623.67323822821,5784.11152629457,9333.15507715049,11309.4206581706,25985.1618528685,25815.6703049237,37230.7264351253,37347.4602147861,1178.75271496464,912.946276530172,6982.3509027109,45954.7785458287,46432.418206099
"Haringvliet HD-E",5677.87121895989,5626.11844971863,4900.57974341122,48472.920029405,49378.9759684773,16358.5035408352,50170.7742933949,49787.938849346,14155.2937580174,14077.88871814,16890.2216448475,40028.0602132142,40141.2160002736,16018.5306888468,16315.7067999537,4723.24219720025,5347.73176562938,6057.08372072358,5781.71764064667,413.838539169725,617.055764042798,783.065277439398,615.974996239307,403.697795333705,202.655820167935,0,210.509541895727,12527.5559790508,12564.8532654153,17233.1458253925,17099.726575,37111.7404326151,36882.9411978443,16764.0333470294,17142.7844868078,17663.8236582272,17892.6631527139,18530.3206469569,12300.0411890442,15011.2754794038,18326.8051324582,36477.5163007087,36011.4281757333,46397.5127107867,45885.8311023212,17065.0048391828,17461.4205960347,15821.4857649077,16218.4636287142,41034.3126080441,40640.6840314766,1544.48771719718,1663.28938198789,2532.46327811852,4599.63053362775,3837.2487380971,1290.42547180163,1143.29896062873,10307.8316675649,42020.4457658683,42175.5177407735,19543.1762362769,19648.4273142745,19741.2243861746,871.098019959348,735.89948955688,751.594860096423,912.080995749727,8718.9400290398,5843.77215126239,9414.73226480972,11394.2959533146,25852.3607398199,25683.8463293076,37176.604234065,37293.964123753,1351.55872231994,1115.17949943592,6867.5135645313,45868.5106376397,46345.9906140469
"Haringvliet HD-F",5677.81272759333,5616.65336619903,4881.15881860551,48379.0894893678,49284.220298668,16185.0477019547,50039.8744850784,49656.3426573582,14087.8784550651,14009.8552492526,16715.7196057974,39922.7206717274,40032.88312539,16001.7108260467,16292.2373022589,4665.62665920132,5271.09425429168,5969.59571392992,5684.16796562234,203.593302577581,406.975468544541,579.15319079111,826.483037194557,614.207281130155,413.159741218093,210.509541895727,0,12335.8943958427,12370.3495543162,17193.3914133064,17054.0915746825,37050.8013635496,36820.4123688734,16595.7891346897,16972.4414328489,17494.0247059732,17747.0706957126,18398.5284335318,12232.1142463593,14936.0463608689,18221.5839678209,36308.9215401695,35842.2021270695,46299.1244612549,45789.9138005669,16890.3292400563,17286.1920562805,15618.2758600402,16015.0621313662,40883.5594977695,40488.1428714257,1543.34465169217,1683.27078307596,2475.59142642419,4604.30821102059,3791.10801138841,1388.23150754841,1240.28472009646,10218.5280200303,41889.2345826044,42043.8249690518,19372.9142960561,19478.0641371041,19570.808156579,1004.6666690502,800.124550597748,718.765677016293,797.936420175217,8823.63966639047,5914.52644090342,9505.28450927258,11487.5493078733,25713.713192453,25546.2215858491,37119.3541319931,37237.3610253299,1539.72446742241,1325.48507437594,6754.46141105518,45777.6888684945,46254.9951905169
"Hartelkanaal SB-B",15656.0304992548,15432.0582579913,14775.2225243211,49565.5008583278,50382.9447477838,4582.16100872995,48613.5401457312,48189.8318489202,19726.582677614,19638.6842857109,4993.23166829374,40689.386118243,40594.8156212421,23366.6413341167,23362.5412870616,13924.9863651626,13777.1263279785,13796.93803642,13397.590421406,12145.4499862084,11954.5856709007,11762.4444380082,13090.6426300945,12896.897939367,12713.4755886081,12527.5559790508,12335.8943958427,0,423.74128950353,23474.6102134617,23103.5184101464,40639.0010383039,40331.3874488774,5281.94000141082,5476.3586572662,5977.95647902777,7794.17957804005,9259.56690111122,9798.77659427124,10668.3119582597,10906.9460562668,32299.9758065971,31799.58740108,47261.5668895307,46929.9271775059,5142.71706021986,5478.07453828366,3993.32445519745,4367.31497255705,38237.8732832947,37710.1696064011,11869.7103282138,11993.1512091639,10987.3873876939,11433.7440713064,10578.5627583421,12580.1384406973,12552.00469135,8108.45002411089,40744.6052899984,40856.1659180825,17162.6414105853,17234.418933447,17301.5038853838,12707.5970149355,12368.5112567953,12045.3247451718,11723.6167486105,15874.0954850667,13300.5340367628,15758.6601508556,17166.6517495857,25186.9751755115,25117.4001430724,40907.1367835656,41055.0201276395,13387.991005827,13530.8221536917,7684.60519184923,47242.2987796339,47692.0048567035
"Hartelkanaal SB-E",15548.9177400234,15321.5983275011,14676.0629949922,49159.0644090909,49975.4206396314,4835.15656596954,48190.9640010018,47767.1857804342,19448.2147392383,19360.5713387337,5219.0502918869,40282.2103612342,40185.7706333029,23118.6703224883,23105.9140464563,13817.181346207,13646.8715369642,13644.2103084145,13248.8286676259,12177.5378353684,11984.3292127615,11794.4122657373,13135.8449490508,12939.3919315196,12753.3612216157,12564.8532654153,12370.3495543162,423.74128950353,0,23195.5392691389,22819.7392116564,40269.4174962336,39960.7418847978,5559.95208979818,5728.2317157119,6219.46805307361,8141.92125455302,9629.54809658478,10197.0680319968,11090.04014819,11313.3429801437,31877.9921883024,31377.6194018222,46853.7211174318,46523.9032249348,5361.64357826174,5680.89551597898,3715.08440842319,4099.426623891,37814.1348823142,37286.4352535372,11955.3088263354,12084.4276707621,11096.9120637885,11623.1181676736,10734.939517559,12660.3989683362,12627.4782845121,8474.90270087614,40324.0265220699,40435.3825105366,16750.7141246204,16822.0355143539,16888.753192072,12773.144810549,12430.1391505664,12102.6252848418,11776.3451290377,16134.1568127519,13517.4919414987,16038.5760305874,17472.1822436938,24778.5495609944,24710.0115352588,40540.7898558933,40689.0791373035,13458.5884237265,13583.3248572969,7922.2743970358,46839.5037237997,47288.7493729925
"Hitsertse of Vuile Gat VG 5",11687.0791332273,11679.8122232942,12355.662620934,32179.7683925515,33110.4025739057,28028.0109387096,35744.7240862058,35418.8122714015,3748.07625830503,3836.08829651377,28386.2838819286,24376.3320874129,24640.5911249827,2186.09751388857,1595.35409964627,12544.1687443381,12031.5127160854,11459.3151605192,11838.742533128,17171.7250366699,17155.3852743997,17265.8769390354,17366.2361194318,17315.9342689051,17271.6829948629,17233.1458253925,17193.3914133064,23474.6102134617,23195.5392691389,0,507.762773120678,20039.9958142324,19838.4757257764,28753.098264664,28919.0199666877,29400.3315557758,31125.6054205648,32385.1503718088,28521.516320076,30959.0732274343,33255.1523319293,26353.7484369213,26016.4694680586,30305.267593069,29701.7674601068,28517.5540346758,28802.6717703063,24155.1832127981,24396.276753391,28579.1053514612,28383.2175448051,18726.3489625675,18876.1261483671,19482.8154011558,21762.6958432171,20764.1160473558,18495.590315185,18354.4840362015,26219.8429940944,27881.1292909831,28064.7470646643,13628.9337953872,13696.1630573871,13751.0542986627,18038.2823669813,17968.9083508942,17898.8003832773,17835.2744620572,25667.2176779747,23040.1335964703,26474.8166733633,28405.3419405421,13956.0185048528,13721.4724785156,20051.5370548502,20160.4019424525,18128.105636382,17535.9682117662,22651.6496461329,29495.4475955451,29973.8512954326
